Основная категория,Подкатегория,Пример вопроса,Целевая аудитория,Шаблонный ответ,is_original
Частные клиенты,Кредиты,Могу ли я отозвать свое согласие на предоставление кредитного отчета?,все клиенты,"Согласие на предоставление кредитного отчета может быть отозвано кредитополучателем в порядке, определяемом Национальным банком Республики Беларусь, за исключением случаев наличия действующей кредитной сделки между банком и кредитополучателем.",True
Частные клиенты,Кредиты,С какой целью при оформлении кредита открывается текущий счет? И нужно ли платить за его открытие?,все клиенты,"При оформлении потребительского кредита клиенту предлагается заключить два вида договоров: кредитный договор и договор текущего (расчетного) банковского счета. 
Текущий (расчетный) банковский счет используется не только для зачисления кредитных денежных средств, но и для погашения кредита: ежемесячно клиенту необходимо вносить на данный счет сумму средств, достаточную для уплаты ежемесячного платежа по кредиту. 
Открытие текущего (расчетного) банковского счета в рамках кредитных программ банка осуществляется бесплатно.",True
Частные клиенты,Банковские карточки,Как узнать текущий платеж по кредитной карточке?,все клиенты,"Информация о минимальной обязательной сумме ежемесячного платежа:
- доступна в интернет-банке / мобильном приложении VTB Online;
- доступна посредством запроса «USSD-предстоящий платеж по кредитной карточке» (для абонентов А1 и МТС) следующего формата: *130*7*ХХХХХХХХХ#вызов, где ХХХХХХХХХ – платежный номер по кредитной карточке. Запрос должен быть выполнен кредитополучателем с мобильного телефона, предоставленного в банк вместе с иными клиентскими данными (первоначально в заявлении-анкете);
- доступна к получению в офисе банка (при себе иметь паспорт) и по звонку по контактным телефонам.",True
Частные клиенты,Банковские карточки,Как можно бесплатно и мгновенно пополнить платежную карточку банка?,все клиенты,"1. Через участников системы АИС ""Расчет"" (маршрут в ЕРИП: Банковские, финансовые услуги - Банки НКФО - Банк ВТБ (Беларусь) - Пополнение карточек и Е+PAY). 2. Переводом с другой карточки банка ВТБ (Беларусь), с другой карточки банков-резидентов Республики Беларусь и с карточек платежной стсемы ""Мир"" из иных стран. 3. В отделениях банка ВТБ (Беларусь).",True
Частные клиенты,Банковские карточки,Как быстро можно получить карточку «Мир»?,все клиенты,"При обращении в офис Банка ВТБ (Беларусь), выдается карта мгновенного выпуска, сразу при обращении клиента. При заказе  в интернет-банке / мобильном приложении VTB Online  карточка изготавливается именная (срок изготовления и доставки от 3-х дней). Также в интернет-банке / мобильном приложении VTB Online  можно выпустить виртуальную  карточку  «Мир»  в  BYN ,  например карточку MORE (оформление  и выпуск займет не более 5 минут).",True
Частные клиенты,Банковские карточки,Можно ли получить карточку почтой?,все клиенты,"При заказе карты в интернет-банке (включая мобильное приложение VTB Online), можно выбрать способ получения карточки (в офисе банка или доставка почтой). Доставка осуществляется только по территории Республики Беларусь.",True
Частные клиенты,Банковские карточки,С какого возраста можно оформить платежную карточку в банке?,новые клиенты,"Оформление карточки возможно начиная с 14 лет, при наличии документа, удостоверяющего личность.

ВАЖНО. В случае оформления карточки лицом, не достигшим восемнадцатилетнего возраста, необходимо согласие законного представителя.",True
Частные клиенты,Банковские карточки,Как активировать карточку?,все клиенты,"Необходимо совершить первую успешную операцию с вводом ПИН-кода, например совершить запрос баланса в  банкомате любого банка (один запрос в месяц бесплатный).",True
Частные клиенты,Банковские карточки,Обязательно ли обращаться в офис банка для оформления платежной карточки?,новые клиенты,Не обязательно — многие карты можно заказать онлайн через интернет-банк или мобильное приложение; получение пластика может потребовать посещения отделения или курьерскую доставку.,True
Частные клиенты,Банковские карточки,"Какую карточку оформить, чтобы оплачивать товары на OZON, Wildberries?",новые клиенты,"Банк предлагает оформление карточек платежной системы «Мир» и Белкарт, которыми можно рассчитываться на интернет-ресурсах, принимающих карточки «Мир», в том числе OZON, E-dostavka, Wildberries и других торговых площадках с  размещенным логотипом «Мир» и/или Белкарт.",True
Частные клиенты,Банковские карточки,Как можно бесплатно пополнить карточку MORE?,все клиенты,"Через участников системы АИС «Расчёт» (ЕРИП), в том числе отделения РУП «Белпочта».
Банковским переводом внутри страны, в том числе от организаций без заключения договора на зарплатное обслуживание. Переводом с другой карточки банка ВТБ (Беларусь) и с карточек ПС «Мир» из иных стран. В отделениях банка ВТБ (Беларусь).",True
Частные клиенты,Банковские карточки,Карты каких платежных систем можно использовать в Mir Pay?,все клиенты,В приложение Mir Pay можно добавить любую карточку «Мир» ЗАО Банк ВТБ (Беларусь).,True
Частные клиенты,Банковские карточки,Сколько стоит сервис Mir Pay?,все клиенты,Данный сервис абсолютно бесплатный для всех клиентов — вам нужна только активная карта «Мир» ЗАО Банк ВТБ (Беларусь). При оплате покупок дополнительная комиссия также не взимается.,True
Частные клиенты,Банковские карточки,Какие устройства совместимы с Mir Pay?,все клиенты,Mir Pay поддерживается только смартфонами на базе OC Android. Обязательными условиями являются поддержка технологии NFC и предустановленная версия ОС Android не ниже 7.0.,True
Частные клиенты,Банковские карточки,Рекомендации по безопасному использованию карточек,все клиенты,"Можете ознакомиться с рекомендациями по данной ссылке.
https://www.nbrb.by/today/FinLiteracy/Consumer/recomend_card.pdf",True
Частные клиенты,Банковские карточки,Действия при утрате карточки,все клиенты,"При утрате карточки банка «ВТБ (Беларусь)» рекомендуется незамедлительно заблокировать её любым доступным способом:
- через интернет-банк или М-банкинг;
- с помощью услуги «USSD-блокировка» (нужно отправить с номера мобильного телефона, предоставленного ранее в банк, USSD-команду 13021XXXX# вызов, где XXXX — последние четыре цифры номера карточки);
по телефонам: +375 17 309 15 15, +375 29 309 15 15, +375 33 309 15 15.",True
Частные клиенты,Банковские карточки,Я потерял пин-код к карточке. Как его восстановить?,все клиенты,"Вы можете осуществить смену ПИН-кода карточки бесплатно в сервисе Интернет-банк/ М-банкинг. Необходимо в разделе ""Карточки"" выбрать карточку и перейти по ссылке ""Смена ПИН-кода"".

Также можно сменить ПИН-код, позвонив в банк по телефону: +375 (17/ 29/ 33) 3091515, в данном случае плата за смену ПИН-кода составит 3 рубля/ 2 доллара США либо евро/ 100 российских рублей.",True
Частные клиенты,Банковские карточки,"Как отключить SMS-информирование по карте без обращения в банк?
",все клиенты,"Отключить услугу SMS- информирование можно в сервисе ""Интернет-банк""/""М-банкинг"". Для этого необходимо в разделе ""Карточки"" выбрать карту, затем вкладку ""Сервисы"" и перейти по ссылке ""SMS-информирование"", в данном случае услуга бесплатная.",True
Частные клиенты,Банковские карточки,"У меня карта российского банка, могу ли я снять деньги в банкомате Банка ВТБ (Беларусь)?
",все клиенты,"Снять наличные средства можно в белорусских рублях в банкоматах ЗАО Банк ВТБ (Беларусь) по карточкам платежной системы МИР. Комиссия со стороны ЗАО Банк ВТБ (Беларусь) за снятие наличных не взимается, при этом установлен лимит по снятию наличных по одной карточке в размере до 50 (пятидесяти) базовых величин Республики Беларусь в месяц. Рекомендуем Вам также уточнить тарифы и ограничения, установленные банком-эмитентом Вашей карточки.",True
Частные клиенты,Банковские карточки,"Каким способом можно пополнить карточку, оформленную в Банке ВТБ (Беларусь), находясь в Москве?",все клиенты,"Пополнить карточку, эмитированную ЗАО Банк ВТБ (Беларусь), можно следующими способами:

1) Посредством перевода с карты на карту. Комиссию за зачисление на счет Банк ВТБ (Беларусь) не взимает;

2) Оформить банковский перевод из банка-нерезидента. За зачисление денежных средств со счетов, открытых в иных банках, на Ваш счет, Банком ВТБ (Беларусь) взимается плата согласно Сборнику плат (Раздел 8, пункт 8.1.7.).",True
Частные клиенты,Банковские карточки,"Как быстро можно получить карточку «Мир» или Белкарт?
",все клиенты,"При обращении в офис Банка ВТБ (Беларусь), выдается карта мгновенного выпуска, сразу при обращении клиента.

При заказе  в интернет-банке / мобильном приложении VTB Online  карточка изготавливается именная (срок изготовления и доставки от 3-х дней).

Также в интернет-банке / мобильном приложении VTB Online  можно выпустить виртуальную  карточку  «Мир»  в  BYN ,  например карточку MORE (оформление  и выпуск займет не более 5 минут).",True
Частные клиенты,Вклады и депозиты,Могу ли я оформить онлайн-вклад в вашем банке?,новые клиенты,"Банк ВТБ (Беларусь) предлагает своим клиентам открытие безотзывных вкладов ""Мои условия онлайн"" и ""СуперСемь-онлайн"" в интернет-банке / мобильном приложении VTB Online. Для этого необходимо иметь текущий счет либо счет с карточкой, открытый в нашем банке. Валюта данного счета и валюта вклада должны совпадать.",True
Частные клиенты,Вклады и депозиты,Обязательно ли приходить в офис банка для открытия депозитного счета?,новые клиенты,При наличии открытого текущего (расчетного) счета в ВТБ (Беларусь) вы можете открыть депозитный счет прямо в Интернет-банке. Посещать офис банка для этого не нужно.,True
Частные клиенты,Вклады и депозиты,Какой регламент размещения онлайн-депозитов?,новые клиенты,С регламентом размещения депозитов вы можете ознакомиться по ссылке: https://www.vtb.by/korporativnym-klientam/raschetno-kassovoe-obsluzhivanie-dlya-korporativnyh-klientov,True
Частные клиенты,Вклады и депозиты,"Возможно ли перечислить первоначальный взнос в депозит в сумме, которая будет выше первоначального взноса, указанного в депозитном договоре?",новые клиенты,"Да, возможно. Сумма денежных средств, перечисленных сверх суммы первоначального взноса, указанной в депозитном договоре, является дополнительным взносом в депозит. Он будет размещен в рамках условий депозитного договора.",True
Частные клиенты,Вклады и депозиты,"Возможно ли оформить депозит, не посещая офис банка?",новые клиенты,"Да, возможно. В Интернет-банке и приложении VTB Business вы можете оформить отзывный или безотзывный депозит онлайн. Разместить денежные средства можно в белорусских или российских рублях, а также китайских юанях.

",True
Частные клиенты,Вклады и депозиты,Возможно ли оформить депозит с перечислением денежных средств из другого банка?,новые клиенты,"Да, возможно. Вы можете воспользоваться опцией размещения депозита в Интернет-банке с выбором варианта перечисления первоначального взноса из другого банка.


",True
Частные клиенты,Вклады и депозиты,При оформлении вклада в каком случае нужно платить подоходный налог?,новые клиенты,"Оплата подоходного налога процентных доходов, полученных по банковским вкладам зависит от фактического срока хранения денежных средств на счете вклада (депозита). Подлежат налогообложению процентные доходы по тем денежным средствам, фактический срок размещения которых на счете банковского вклада (депозита) составляет менее одного года в белорусских рублях, а в иностранных валютах менее двух лет. ",True
Частные клиенты,Вклады и депозиты,Мне необходимо самому производить оплату подоходного налога в налоговый орган?,все клиенты,"Банк является налоговым агентом, поэтому проценты по вкладу начисляются клиенту уже за вычетом подоходного налога.",True
Частные клиенты,Вклады и депозиты,Где можно получить наличные после окончания онлайн-вклада?,все клиенты,"Получить наличные денежные средства возможно в любом офисе банка. Для Вашего удобства необходимо в интернет-банке / мобильном приложении VTB Online осуществить дистанционный заказ денежной наличности. Заказ наличности в интернет-банке / мобильном приложении VTB mBank доступен по онлайн-вкладам не ранее чем за 15 дней до срока окончания вклада. Необходимо в личном кабинете выбрать Вклад далее пункт «Заказать денежную наличность» - ввести сумму для заказа и выбрать офис (ДО или РД) – подтвердить действия сеансовым паролем. В дальнейшем с Вами свяжется специалист офиса по номеру, имеющемуся в банке. ",True
Частные клиенты,Вклады и депозиты,Может ли нерезидент Беларуси открыть вклад в вашем банке?,все клиенты,"Нерезидент Республики Беларусь может открыть вкладной счет в ЗАО Банк ВТБ (Беларусь) и разместить безотзывный и отзывный вклад на предлагаемые сроки. Необходимо лично обратиться в любое отделение банка с паспортом. Также можно дистанционно открыть онлайн-депозит в интернет-банке / мобильном приложении VTB Online, при этом необходимо иметь текущий счет либо счет с карточкой, открытый в Банке ВТБ (Беларусь). Валюта данного счета и валюта вклада должны совпадать.",True
Частные клиенты,Вклады и депозиты,"Могу ли я закрыть вклад, размещенный в офисе банка ВТБ (Беларусь) расположенном в Минске, находясь в другом городе?",все клиенты,Закрытие вкладного счета в дату окончания вклада банк осуществляет без предоставления вкладчиком дополнительных платежных инструкций. Оформить заявление на досрочное закрытие отзывного вклада возможно в любом офисе банка на всей территории Республики Беларусь. При себе Вам необходимо иметь паспорт. Это касается также и операций пополнения либо снятия денежных средств со счета в офисе банка.,True
Частные клиенты,Вклады и депозиты,Могу ли я по телефону узнать дату окончания вклада?,все клиенты,Дату окончания вклада можно узнать в личном кабинете в интернет-банке / мобильном приложении VTB Online в разделе Депозиты. Также информация по вкладному счету может быть предоставлена вкладчику (доверенному лицу) при личном обращении в офис банка ВТБ (Беларусь).,True
Частные клиенты,Вклады и депозиты,На какие пункты договора вклада стоит обращать особое внимание?,все клиенты,"В банковском кодексе прописан ряд существенных условий, которые должны быть отражены в обязательном порядке в договоре банковского вклада. Это фамилия, имя, отчество вкладчика; валюта вклада и сумма первоначального взноса; размер процентной ставки; срок возврата вклада и некоторые другие.",True
Частные клиенты,Вклады и депозиты,Что делать если банк обанкротился? Что такое возмещение по вкладам?,все клиенты,"Государство гарантирует сохранность денежных средств, размещенных на счетах и (или) в банковские вклады (депозиты) в банках Республики Беларусь для физических лиц, в том числе выступавших в качестве индивидуальных предпринимателей, в соответствии с:
Законом Республики Беларусь от 8 июля 2008 г. № 369-З “О гарантированном возмещении банковских вкладов (депозитов) физических лиц” (в ред. Закона Республики Беларусь от 11.11.2021 г. № 128-З)
Декретом Президента Республики Беларусь от 4 ноября 2008 г. № 22 “О гарантиях сохранности денежных средств физических лиц, размещенных на счетах и (или) в банковские вклады (депозиты)” (в ред. Декрета Президента Республики Беларусь от 31.01.2022 г. № 1)",True
Частные клиенты,Вклады и депозиты,Капитализация процентов ,все клиенты,"Это дополнительное условие по вкладу связанное с присоединением суммы начисленных процентов (как правило,1 раз в месяц) к сумме договора. В результате в следующем месяце при расчете суммы процентов будет использоваться большая расчетная сумма (сумма вклада+ сумма % за предыдущий месяц), что позволяет в итоге получать больший размер дохода по вкладу",True
Частные клиенты,Онлайн-сервисы,Почему не получается войти под логином и паролем из старого ДБО?,все клиенты,Новые системы Мобильного и Интернет-банка базируются на разных базах зарегистрированных клиентов. Вам потребуется пройти процедуру регистрации в системе при первом использовании системы.,True
Частные клиенты,Онлайн-сервисы,"Система пишет, что такого клиента нет. Что делать?",все клиенты,"Перед началом использования системы требуется пройти процедуру регистрации. Это требование распространяется на всех Клиентов Банка, вне зависимости от того, использовали они старые системы Мобильного и Интернет-банка ранее или нет.",True
Частные клиенты,Онлайн-сервисы,А логин и пароль в новом Интернет-банке и Мобильном банке отличаются?,все клиенты,"Нет, Клиент может, используя одну комбинацию логина и пароля, получить доступ к Мобильной и Интернет версии новой системы.",True
Частные клиенты,Онлайн-сервисы,Есть ли возможность принимать платежи из-за границы?,все клиенты,Платежи сервиса E-POS доступны только на территории Республики Беларусь.,True
Частные клиенты,Онлайн-сервисы,Где получить информацию о платежах за месяц?,все клиенты,"В личном кабинете E-POS реализован сервис формирования и отправки отчетов на e-mail за любой период, который укажет клиент.",True
Частные клиенты,Онлайн-сервисы,Потребуется ли какое-то специальное оборудование или программное обеспечение для подключения к сервису e-pos?,все клиенты,"Специальное оборудование и разработка программного обеспечения не требуются. Достаточно иметь устройство с выходом в интернет (компьютер, ноутбук, планшет).",True
Продукты - Кредиты,Потребительские - Всё только начинается,Каковы условия получения кредита для пожилых людей?,новые клиенты,Кредит 'Всё только начинается' предназначен для клиентов старше 50 лет и предоставляет особые льготные условия.,True
Продукты - Кредиты,Автокредиты - Автокредит без залога,Какой минимальный срок кредита для покупки автомобиля без залога?,новые клиенты,Автокредит без залога выдается на покупку новых и подержанных автомобилей в автосалонах-партнерах банка.,False
Продукты - Вклады,Рублевые - Мои условия онлайн,"Можно ли открыть вклад 'Мои условия онлайн', если у меня нет счета в ВТБ?",новые клиенты,Онлайн вклад 'Мои условия онлайн' можно открыть через Интернет-банк или мобильное приложение VTB mBank без посещения отделения.,False
Продукты - Кредиты,Экспресс-кредиты - На роднае,Какую сумму можно взять по кредиту 'На роднае' и на какой срок?,новые клиенты,"Экспресс-кредит 'На ро́днае' предоставляет льготные условия для покупки товаров, произведенных в Республике Беларусь.",False
Продукты - Кредиты,Экспресс-кредиты - На роднае,Какие документы нужны для оформления экспресс-кредита 'На роднае'?,новые клиенты,"Экспресс-кредит 'На ро́днае' предоставляет льготные условия для покупки товаров, произведенных в Республике Беларусь.",False
Продукты - Карты,Дебетовые карты - Infinite,"Какие условия необходимо выполнить для получения карты Infinite, если у меня есть счет в вашем банке, и какой минимальный срок его открытия?",новые клиенты,Карта Infinite - это карта высшего уровня. Для оформления обратитесь к персональному менеджеру в отделении банка.,False
Продукты - Вклады,Валютные - EUR,"Можно ли открыть вклад в евро на короткий срок, например, на три месяца?",новые клиенты,"Да, банк ВТБ (Беларусь) принимает вклады в евро на различные сроки.",False
Продукты - Вклады,Валютные - EUR,Какие минимальные суммы необходимо внести для открытия валютного вклада в евро?,новые клиенты,"Да, банк ВТБ (Беларусь) принимает вклады в евро на различные сроки.",False
Продукты - Вклады,Рублевые - СуперСемь,"Что делать, если я хочу закрыть вклад СуперСемь до окончания срока?",новые клиенты,Вклад 'СуперСемь' размещается на 7 дней с возможностью автоматической пролонгации.,False
Продукты - Вклады,Рублевые - СуперСемь,Какие документы нужны для открытия вклада СуперСемь?,новые клиенты,Вклад 'СуперСемь' размещается на 7 дней с возможностью автоматической пролонгации.,False
Продукты - Вклады,Валютные - RUB,"Мне нужно открыть вклад в рублях, какие документы для этого потребуются?",новые клиенты,"Да, банк принимает вклады в российских рублях на различные сроки и условия.",False
Продукты - Вклады,Валютные - RUB,Какие проценты по рублевым вкладам на срок один год вы предлагаете?,новые клиенты,"Да, банк принимает вклады в российских рублях на различные сроки и условия.",False
Продукты - Вклады,Рублевые - Великий путь,"Можно ли досрочно снять средства с вклада 'Великий путь', и какие будут последствия для доходности в этом случае?",новые клиенты,Вклад 'Великий путь' - это безотзывный депозит с особыми условиями доходности и сроками размещения.,False
Продукты - Вклады,Рублевые - Великий путь,Каков минимальный срок размещения вклада 'Великий путь' и есть ли возможность его продления после окончания этого срока?,новые клиенты,Вклад 'Великий путь' - это безотзывный депозит с особыми условиями доходности и сроками размещения.,False
Продукты - Кредиты,Потребительские - Легко платить,"Могу ли я продлить льготные месяцы по кредиту Легко платить, если не успеваю погасить основную сумму долга в срок?",новые клиенты,"Льготные месяцы - это период в начале кредита, когда вы платите по сниженной ставке и можете не погашать основной долг.",False
Продукты - Кредиты,Онлайн кредиты - Проще в онлайн,"Можно ли получить консультацию по онлайн кредиту, не выходя из дома?",новые клиенты,"Онлайн кредит можно оформить через сайт vtb.by или мобильное приложение VTB mBank, заполнив заявку и загрузив необходимые документы.",False
Продукты - Кредиты,Потребительские - Старт,Как рассчитывается максимальная сумма кредита 'Старт' для меня?,новые клиенты,Сумма кредита 'Старт' определяется индивидуально в зависимости от доходов и платежеспособности клиента.,False
Продукты - Кредиты,Потребительские - Старт,Есть ли какие-то требования для получения кредита 'Старт'?,новые клиенты,Сумма кредита 'Старт' определяется индивидуально в зависимости от доходов и платежеспособности клиента.,False
Продукты - Кредиты,Потребительские - Старт,"Какова минимальная сумма, которую можно получить по кредиту 'Старт'?",новые клиенты,Сумма кредита 'Старт' определяется индивидуально в зависимости от доходов и платежеспособности клиента.,False
Новые клиенты,Регистрация и онбординг,"Как мне зарегистрироваться в банке ВТБ, если я первый раз открываю счет?",новые клиенты,Стать клиентом ВТБ (Беларусь) можно онлайн через сайт vtb.by или мобильное приложение VTB mBank. Для регистрации потребуется паспорт и номер телефона. После регистрации через МСИ (Межбанковскую систему идентификации) вы получите доступ к банковским услугам.,False
Новые клиенты,Регистрация и онбординг,Что нужно для регистрации в мобильном приложении VTB mBank?,новые клиенты,Стать клиентом ВТБ (Беларусь) можно онлайн через сайт vtb.by или мобильное приложение VTB mBank. Для регистрации потребуется паспорт и номер телефона. После регистрации через МСИ (Межбанковскую систему идентификации) вы получите доступ к банковским услугам.,False
Продукты - Вклады,Валютные - CNY,Можно ли открыть вклад в юанях через интернет-банк?,новые клиенты,"Да, банк ВТБ (Беларусь) принимает вклады в китайских юанях (CNY).",False
Продукты - Вклады,Валютные - CNY,Какой минимальный депозит нужен для вклада в китайских юанях?,новые клиенты,"Да, банк ВТБ (Беларусь) принимает вклады в китайских юанях (CNY).",False
Продукты - Вклады,Рублевые - Подушка безопасности,"Можно ли вернуть деньги с вклада 'Подушка безопасности', если возникла неожиданная медицинская ситуация?",новые клиенты,Условный вклад 'Подушка безопасности' позволяет изымать средства при наступлении определенных жизненных обстоятельств без потери процентов.,False
Продукты - Вклады,Рублевые - Подушка безопасности,Как быстро я смогу получить доступ к своим деньгам с вклада 'Подушка безопасности' в экстренной ситуации?,новые клиенты,Условный вклад 'Подушка безопасности' позволяет изымать средства при наступлении определенных жизненных обстоятельств без потери процентов.,False
Продукты - Кредиты,Экспресс-кредиты - В магазинах-партнерах,"Какую максимальную сумму экспресс-кредита я могу получить в магазинах-партнерах, и зависит ли это от типа товара?",новые клиенты,"Условия кредитования зависят от продукта; вы можете найти ставки, сроки и требования в разделе 'Кредиты' на сайте ВТБ (Беларусь).",False
Продукты - Кредиты,Экспресс-кредиты - В магазинах-партнерах,"Как быстро я смогу получить деньги на карту после оформления экспресс-кредита в магазине, и есть ли какие-либо ограничения на использование этих средств?",новые клиенты,"Условия кредитования зависят от продукта; вы можете найти ставки, сроки и требования в разделе 'Кредиты' на сайте ВТБ (Беларусь).",False
Продукты - Вклады,Валютные - USD,Как часто обновляются процентные ставки по валютным вкладам в USD и от чего это зависит?,новые клиенты,Процентные ставки по валютным вкладам в USD регулярно обновляются в соответствии с рыночной ситуацией.,False
Продукты - Вклады,Валютные - USD,"Какова максимальная сумма, которую я могу разместить на долларовом вкладе и какие существуют ограничения на эту сумму?",новые клиенты,Процентные ставки по валютным вкладам в USD регулярно обновляются в соответствии с рыночной ситуацией.,False
Новые клиенты,Первые шаги,"Что мне делать, если я забыл свой временный пароль для Интернет-банка?",новые клиенты,После регистрации вы получите логин и пароль для входа в систему Интернет-банк. При первом входе рекомендуется изменить временный пароль на постоянный и настроить дополнительные параметры безопасности.,False
Новые клиенты,Первые шаги,Какую информацию я должен указать при регистрации в Интернет-банке?,новые клиенты,После регистрации вы получите логин и пароль для входа в систему Интернет-банк. При первом входе рекомендуется изменить временный пароль на постоянный и настроить дополнительные параметры безопасности.,False
